,review,rating,autor(a),data
1625,"  Pues de modo muy personal la amé. Uno de mis libros favoritos es la biografía de Leonora Carrington. Lo que más me gusta de ese libro y con lo que más me identifico es cómo nunca pudo entender a México, cómo se sentía siempre como una extraña en un país tan salvaje. No puedo ser el único que se ha sentido así. Sobre todo en estos últimos años, que lo atroz de nuestro país es cada vez más notable. Pocas…  ", ★★★★★ ,dbarreracastro,29 Oct 2017
1626," Se nota de principio a fin que se esmeraron para hacer la pelicula, que se investigo arduamente e hicieron un trabajo excelente resaltando la importancia del dia de muertos para las familias mexicanas.Lo que veo como falla es que utilicen un argumento tan trillado para contar la historia de Miguel, solo eso, pero en conjunto es una muy buena pelicula. Los ojos vidriosos al final, son inevitables. ", ★★★½ ,Kent Emir,27 Oct 2017
1627,"  Seit “Fast and Furious 7“ war die Familie nicht mehr so wichtig, wie in “Coco“! (^^)Pixar hat's endlich mal wieder geschafft, mich komplett zu begeistern, nachdem Filme wie “Findet Dory“ und “Cars 3“ mich ziemlich gelangweilt haben und in meinen Augen komplett unkreativ waren. Aber “Coco“ packt einen von der ersten Sekunde an. Es geht dabei sehr musikalisch zu, was mich nicht gestört hat. “Coco“ ist bunt, kreativ und lässt den Zuschauer staunen, vor allem natürlich Kinder. Aber auch…  ", ★★★★ ,Marc,23 Oct 2017
1628, cured my depression , ★★★★½ ,davi,02 Mar 2024
1629, Sans & papyrus , ★★★★ ,Axel films,01 Nov 2023
1630," Nada más apropiado qué ver Coco el día de todos los santos, ni idea tenía que iba a gustarme tanto ", ★★★★½ ,David BY,01 Nov 2023
1631, i don’t trust people who don’t cry when remember me plays.‎˗ˏˋ spooktober 23' ˎˊ˗ , ★★★★★ ,ella 𓏲ּ,08 Oct 2023
1632," Watched this film in my Spanish class over the past couple days. I'll go into greater detail about it later, but just know that this is the only Pixar movie that can get me to cry regardless of how I feel. ", ★★★★ ,Ketchup,02 Nov 2021
1633," God this movie is perfect. Either this or soul has the best animation from pixar. The soundtrack is on of my favorites, and the story is so beautiful. It tackles a very dark story in a perfect way that doesn’t make it depressing. I teared up when Hector started fading and cried when Miguel sings to Mama Coco.10/10also check you my pixar ranking ", ★★★★★ ,ethanscalione,12 Feb 2021
1634,"  This one just didn’t do it for me.  I’d been pushing it off because I’d heard such great things, I didn’t want to cry, and I loved The Book of Life.  Well I didn’t think it was that great, I somehow wasn’t close to tears, and I think Book of Life is better.  So yeah I can consider this a disappointment.  It’s not that I didn’t like it, but it just never seemed to click with me.  Idk why.  Still…  ", ★★★½ ,ClayW318,21 Oct 2020
1635, everyone who died before the invention of photography got fucked i guess , ★★★★★ ,Lena,06 Sep 2020
1636," this is, without a doubt, in my top 10 fave films ever ", ★★★★★ ,kara,24 Mar 2020
1637,"  True Lies in 1994 was the first film to have a budget of over $100 million. It may seem strange to start a review for this film with that fact, but what is even stranger, to the point of being infuriating is that this film was the first film with an all-Latino principal cast to have a cost over $100 million, more than two decades after the first. But as several reviewers pointed out, this film couldn't have come out…  ", ★★★★★ ,Jayce Fryman,20 Mar 2019
1638," More driven by too-clean, too-familiar screenwriting 101 mechanics than inspired directly and defined by Mexican culture. ""Our family was torn apart by [MUSIC] and brought together again by [SHOES]."" The design is gorgeous, lush, and more deeply textured than any other animation I've seen. Denim, velvet, gingham, plaster, corn husks, all of them have the fine detail of the real thing.The ending got me choked up like everyone, but I've seen Alzheimer's and senility first hand and the film's sudden cure is a rose-tinted fantasy for an existential horror. ", ★★★ ,Carl Garcia,
1639, Beautiful. Just beautiful. , ★★★★★ ,Tarryn-tino,10 Feb 2018
1640,"  I didn’t think I’d get to see this in cinemas and I was losing hope but just this morning I spontaneously decided to skip my history seminar at uni to go see Coco instead. Best decision I ever made. Pixar really did do it again, huh? Of course, they made me cry. Like 3 times (yes I counted) almost 4 but I managed to hold it in. It was so heartfelt and touching and really played with my emotions. But…  ", ★★★★ ,chloe,08 Feb 2018
1641," My mom took me to watch this with my brother and grandma (my stepfather and my brother's dad too but they don't count) and you bet the four of us were fucking crying during THAT scene; this family mirrors ours so much it really hits way too close to home. I LOVE IT, I couldn't have asked for a better (one day early) birthday present. ", ★★★★★ ,Poppy (Edward),12 Jan 2018
1642," Ich habe gelacht, geweint, gestaunt und mich an meine Großma erinnert. Also eigentlich perfekt.Allerdings bekommt Coco zwei Abzüge bei der B-Note:Zum einen war das Happy End zu perfekt. Miguels Familie hat sein Abenteuer ja nicht miterlebt, wie kam es da zu so einem fundamentalen Meinungswandel? Eine Nuance weniger dick aufgetragen, hätte hier gut getan.Zum anderen ist ein Reich der Toten, in dem mehr oder weniger die gleichen Klassenunterschiede herrschen wie bei uns, eine sehr unangenehme Jenseitsvorstellung. Auch wenn sie noch so gut aussieht. ", ★★★½ ,Daniel,07 Jan 2018
1643, Wow! I wish I could do what Miguel did and be able to see my loved ones who have passed.<3 This movie made me cry both sad and happy tears. , ★★★★★ ,adrii,05 Jan 2018
1644," This review may contain spoilers. I can handle the truth.   I recently took a film criticism class for learning how to write good academic journalism. The class just completed, so I will be uploading my essays on every film daily for the next eight days. Here's the first one.Coco LucidaFollowing a stunning reveal in the second act of Pixar’s latest fantastic fable Coco, famed musician Ernesto de la Cruz (Benjamin Bratt) denies a homicidal allegation from a forgotten artist, Héctor (Gael Garcia Bernal), with the simple rebuke of…   ", ★★★★★ ,Blankments,19 Dec 2017
1645,"  Coco is the latest Pixar feature that offers a glimpse into our personal connections with our ancestors. In the film, our main character, an aspiring musician with disapproving parents end up running away on a journey that connects him with his ancestors during the Day of the Dead ceremony. The fleeting idea of mortality and lost love is wonderfully captured amidst colorful animation and vibrant characters, in contrast with the lifeless exterior they are provided.Personally, I empathize with the…  ", ★★★★ ,kwang,25 Nov 2017
1646," The first movie tears of 2017 have been shed, and it only took a masterpiece. Saw this the afternoon my family attended a memorial mass for my grandparents--maybe that's irony or a coincidence, but whatever the case, it feels both destined and deeply prophetic. Pixar still has it, anchoring beautiful visuals to a tightly-knit (good lord, is this a perfect example of setups and callbacks) fable of family remembrance. When it all came together, it sang, literally. I haven't cried like that since Bing-Bong died, and I probably won't again until...well, the next one. Hopefully. ", ★★★★½ ,Kate,22 Nov 2017
1647, made me nostalgic for epcot mexico pavilion , ★★★★ ,catherine la prairie,28 Apr 2024
1648," A lot of the things I would expect from Pixar are of course here, but they don't really wow me in the way they once did. The story just never grabbed me the way I'd hope, mostly because the conflict never seemed that difficult or challenging. It's nice but not great ", ★★★ ,ciaran_vallely,13 Apr 2024
1649, If you didn't cry when mama coco sang remember me I Don't trust you , ★★★★★ ,Farah,11 Apr 2024
1650, Rewatch filmlerimden bayram tatili için aile evine geldiğim belli oluyor mu , ★★★★ ,Fank,10 Apr 2024
1651," “remember me, though I have to travel far”I love this movie with all my heart ", ★★★★★ ,C🪷,03 Apr 2024
1652, Never meet your heroes I guess ! , ★★★★ ,Brett Schutt,21 Mar 2024
1653," Find someone who doesn’t get at least a little bit chocked up at the ending. Go on, I dare you. I’ll be waiting but it will probably take you a whilePart of my Best Animated Feature nominees marathon Current list here: boxd.it/ro612Next film: The Boss Baby (oh joy 😩) ", ★★★★½ ,JA Productions,22 Mar 2024
1654,"  Als wir in der Bibliothek waren griff meine Tochter eigenständig nach dem Tony mit den Worten ""den möchte ich ausleihen"" dann wurde der Tony Zuhause rauf & runter gehört + den dazugehörigen Liedern auf YouTube bis wir uns Poco loco mit trällern konnten ich finde das ist eine Aussage für sich wenn die Lieder & Geschichte ohne das visuelle ohne das visuelle zu überzeugen wissenAls wir dann den Film an unseren ""Kino"" Sonntag gesehen saß sie wie gebannt vor dem Bildschirm…  ", ★★★★★ ,jimmydiegrille,16 Mar 2024
1655, Thee best pixar filmI sobbed yet again , ★★★★★ ,Gorg,14 Mar 2024
1656, can’t believe it’s taken me so long to watch this!!!! my heart is so full 🫶🏻 , ★★★★★ ,abbie,18 Feb 2024
